id,item,itype
1,Filtro de aceite,
2,Aceite del motor,
3,Frenos,
4,Líquido de frenos,
5,Bujías,
6,Correas de distribución,
7,Ajuste de eyectores,
8,Filtro de habitáculo,
9,Filtro del aire,
10,Cambio de aceite de la caja de transferencia,
11,Alineación - rotación y balanceo de neumáticos,
12,Sistema de escape,
13,Sistema de refrigeración,
14,Sistema hidráulico,
15,Sistemas eléctrico del vehículo,
16,Filtro de combustible,
17,Filtro purificador del aire,
18,Refrigerante del aire,
19,Líquido de la caja de cambio,
20,Árboles de transmisión,
21,Rótulas de suspensión,
22,Neumáticos,
23,Estado de la Batería,
24,Alinear Ruedas,
25,Limpieza sistema de Inyección,
26,Reajustar suspensión,
27,Refrigerante,
28,Termostato,
29,Estado de los Neumáticos,
30,Arandela del aceite,
31,Chequeo Liquido de frenos,
32,Cambio Liquido de Frenos,
33,Correas del motor,
34,Engrasar rulimanes,
35,Carburador o cuerpo inyección,
36,Limpieza de inyectores,
37,Dirección,
38,Suspensión,
39,Embrague,
40,Chequeo Presión y desgaste Neumáticos,
41,Aceite de transmisión,
42,Liquido de Frenos,
43,Bujías de Iridio,
44,ABC Motor,
45,Banda de Accesorios,
46,Sistema de Dirección,
47,Refrigerante de motor,
48,Rotación - balanceo y alineación,
49,Correa distribución,
50,Tensor distribución,
51,Correa Poly V,
52,Sistema de  Alumbrado,
53,Estado de la Caja de cambio,
54,Líneas de frenos - mangueras y conexiones,
55,Correas de mando,
56,Dirección y articulaciones,
57,Sistema de enfriamiento,
58,Refrigerante del motor,
59,Aceite de transmisión manual,
60,Suspensión delantera y trasera,
61,Cubierta protectora de calor del sistema de escape,
62,Lineas y mangueras de combustible,
63,Sistema de inyección de combustible,
64,Liquido Refrigerante,
65,Liquido de sistema de dirección asistida,
66,Aceite de la caja de transferencia,
67,Línea de escape,
68,Luces - bocina y comandos interiores,
69,Inspección Correas del motor,
70,Cambiar Correas del motor,
71,Sistema de Embrague,
72,Ajuste de suspensión,
73,Estado de Neumáticos,
74,Kit de distribución,
75,Correas de accesorios,
76,Rodillos tensores,
77,Bomba de agua,
78,Funcionamiento - desinfección y limpieza del sistema de AC,
79,Sistemas electrónicos del vehículo,
80,Limpieza cuerpo de aceleración,
81,Funcionamiento elementos electrónicos y accesorios,
82,Flitro de combustible,
83,Limpieza del cuerpo de admisión,
84,Limpieza del sistema de combustible,
85,Cambio de valvula PCV,
86,Reajuste cableado de embrague,
